x, y
0.21818188355501042, 12.231404733563412
0.24545454409260425, 12.165290651906856
0.2754547103856608, 12.165290651906856
0.29454545291112455, 12.165290651906856
0.3136364950637179, 12.198347692735132
0.33545444371751587, 12.165290651906856
0.35454548587010865, 12.198347692735132
0.37909094027936935, 12.198347692735132
0.40909080694529687, 12.165290651906856
0.4336362613545576, 12.198347692735132
0.46090922151928043, 12.165290651906856
0.49090908818520795, 12.198347692735132
0.5209092544782645, 12.198347692735132
0.5509091211441925, 12.198347692735132
0.5727273694251185, 12.198347692735132
0.5972728238343792, 12.198347692735132
0.6190910721153062, 12.165290651906856
0.6436365265245664, 12.198347692735132
0.6763635993188276, 12.165290651906856
0.7063637656118841, 12.198347692735132
0.7363636322778117, 12.198347692735132
0.7609090866870724, 12.198347692735132
0.793636459108462, 12.198347692735132
0.8263638315298528, 12.198347692735132
0.850909285939113, 12.165290651906856
0.8836363587333742, 12.165290651906856
0.9190909372830981, 12.165290651906856
0.9490911035761547, 12.198347692735132
0.9818181763704154, 12.165290651906856
1.0090908369080098, 12.132231795156756
1.0390910032010667, 12.132231795156756
1.0718183756224564, 12.132231795156756
1.0990910361600503, 12.132231795156756
1.1290909028259783, 12.165290651906856
1.1618182752473687, 12.165290651906856
1.1945456476687584, 12.198347692735132
1.224545514334686, 12.165290651906856
1.2600000928844097, 12.165290651906856
1.2927274653058, 12.165290651906856
1.322727331971728, 12.198347692735132
1.3554547043931178, 12.165290651906856
1.3800001588023785, 12.165290651906856
1.4127272315966397, 12.165290651906856
1.4372726860059, 12.165290651906856
1.47000005842729, 12.132231795156756
1.4945455128365503, 12.132231795156756
1.5272728852579405, 12.132231795156756
1.557272751923868, 12.165290651906856
1.5900001243452584, 12.198347692735132
1.6199999910111857, 12.132231795156756
1.6472729511759088, 12.165290651906856
1.6745456117135036, 12.165290651906856
1.7072726845077637, 12.198347692735132
1.7481819749412841, 12.165290651906856
1.7781818416072115, 12.198347692735132
1.8027272960164717, 12.165290651906856
1.827272750425733, 12.132231795156756
1.8600001228471232, 12.165290651906856
1.8927274952685136, 12.09917475432848
1.9172729496777736, 12.132231795156756
1.9500000224720337, 12.06611589757838
1.982727394893425, 12.132231795156756
2.0127272615593528, 12.132231795156756
2.1190909972085246, 12.09917475432848
2.0809092125304667, 12.09917475432848
2.045454633980743, 12.06611589757838
2.1545455757582483, 12.06611589757838
2.1845454424241746, 12.06611589757838
2.2118184025888987, 12.06611589757838
2.236363856998159, 12.09917475432848
2.26909092979242, 12.132231795156756
2.3018183022138103, 12.033058856750099
2.3345456746351996, 12.033058856750099
2.3699999535577945, 12.033058856750099
2.408182037862982, 12.033058856750099
2.4381819045289084, 12.033058856750099
2.479091194962429, 12.033058856750099
2.5090910616283564, 12.033058856750099
2.547273145933542, 11.933884102421626
2.5881818371128054, 11.933884102421626
2.631818333674658, 11.933884102421626
2.675454830236512, 11.933884102421626
2.7163635214157735, 11.933884102421626
2.757272811849294, 11.86777002076507
2.8200003505637405, 11.83471116401497
2.789999884643555, 11.83471116401497
2.8445458049730017, 11.83471116401497
2.885454496152263, 11.83471116401497
2.9181821682007825, 11.83471116401497
2.9590908593800447, 11.86777002076507
3.005454562070231, 11.80165412318669
3.040909440247085, 11.702479368858215
3.0900003490656056, 11.73553822560831
3.128181834116534, 11.702479368858215
3.1690911245500546, 11.636363471279832
3.207272609600982, 11.603306430451557
3.2536363122911696, 11.53719053287318
3.2890911904680213, 11.53719053287318
3.32727267551895, 11.43801759446652
3.3681819659524703, 11.371901696888147
3.4090912563859908, 11.30578579930977
3.4418183291802507, 11.30578579930977
3.469090989717846, 11.30578579930977
3.49636365025544, 11.239669901731393
3.5236363107930333, 11.206612860903114
3.55363677671322, 11.173554004153017
3.5836366433791467, 11.107438106574635
3.6109093039167415, 11.04132220899626
3.638181964454334, 11.00826516816798
3.6654546249919293, 10.942149270589606
3.6981822970404474, 10.842976332182948
3.7336365759630423, 10.77686043460457
3.7581820303723035, 10.77686043460457
3.7827274847815637, 10.710744537026194
3.8127273514474913, 10.644628639447813
3.8454550234960094, 10.578512741869437
3.8809093024186043, 10.413223905884408
3.9136363752128664, 10.380166865056125
3.946364047261386, 10.347108008306025
3.97363670779898, 10.214876213149271
4.009090986721574, 10.115703274742614
4.036363647259169, 10.049587377164238
4.077272937692689, 9.85123968442911
4.104545598230283, 9.818182643600828
4.123636640382875, 9.785125602772553
4.148182094792135, 9.652893807615795
4.178181961458064, 9.619834950865698
4.197273003610657, 9.55371905328732
4.224545664148251, 9.454546114880662
4.254545530814179, 9.28925727889563
4.2736365729667725, 9.223141381317252
4.2927276151193645, 9.0909095861605
4.322727481785292, 9.0909095861605
4.35272734845122, 8.925620750175465
4.382727215117147, 8.79338895501871
4.415454887165666, 8.628100119033677
4.442727547703261, 8.52892718062702
4.472727414369188, 8.396695385470267
4.500000074906782, 8.363636528720166
4.527272735444376, 8.231406549485234
4.554545395981971, 8.033058856750097
4.573636438134564, 7.966942959171722
4.592727480287157, 7.966942959171722
4.614545728568084, 7.834711164014968
4.639091182977344, 7.735538225608311
4.660909431258272, 7.570249389623282
4.682727679539197, 7.438017594466524
4.7072731339484575, 7.404958737716428
4.737273000614386, 7.33884465605987
4.761818455023646, 7.107438106574635
4.78909111556124, 6.975208127339702
4.810909363842168, 6.909092229761327
4.840909230508093, 6.809917475432847
4.868181891045689, 6.710744537026194
4.895454551583282, 6.578512741869436
4.928182223631802, 6.413223905884407
4.960909296426063, 6.247935069899374
4.988181956963657, 6.115703274742617
5.020909629012176, 6.016530336335963
5.050909495678103, 5.884298541179206
5.083636568472363, 5.752066746022452
5.113636435138293, 5.619834950865698
5.143636901058477, 5.487604971630765
5.173636767724406, 5.355373176474008
5.206363840518666, 5.223141381317254
5.233636501056261, 5.157025483738876
5.266364173104779, 5.057852545332218
5.296364039770706, 4.925620750175464
5.3372727309499695, 4.793388955018713
5.364545990741822, 4.661158975783774
5.40272747579275, 4.52892718062702
5.430000136330344, 4.429752426298545
5.46000000299627, 4.363636528720166
5.487273262788123, 4.231406549485233
5.509090911814792, 4.198347692735133
5.528181953967385, 4.132231795156755
5.547272996119978, 4.099174754328479
5.569091244400905, 4.033058856750097
2.980909107660971, 11.83471116401497
3.05999988314542, 11.702479368858215
